model_id,format,filename,size_bytes,size_mb,input_dtype,output_dtype,sha256
tomato_student_supervised_v1,Float32,tomato_student_float32.tflite,11936716,11.38,float32,float32,9a3e0f631eb48f7d0224ab09ea9c608669551a5fa54876a29d9a35edba1cbe09
tomato_student_supervised_v1,Float16,tomato_student_float16.tflite,6053452,5.77,float32,float32,5e62ddea53fe60a62c37db50097036bb38bddf5a47e1328c0917729d41f584bd
tomato_student_supervised_v1,INT8,tomato_student_int8.tflite,3523032,3.36,float32,float32,0545eae3e6149cc46f795c1abe8fc5e522db8b2f7dd30308c7a8f6747c10835b
