model_role,format,file_name,size_bytes,size_mb,input_dtype,output_dtype,sha256
supervised_mobilenetv3,Float32,supervised_mobilenetv3_float32.tflite,11970152,11.42,float32,float32,06801428d07245922f0d39af0631b4cd63cc8237c6a203fe572b119f59fc016c
supervised_mobilenetv3,Float16,supervised_mobilenetv3_float16.tflite,6099276,5.82,float32,float32,1ee496ec553351b004b74cc8495775a0ec69d30daf926c61ceb81d1ff56885b7
supervised_mobilenetv3,INT8,supervised_mobilenetv3_int8.tflite,3553608,3.39,float32,float32,586c6ef05f4c35539bd5e36a92d0bc83ea3ad044acbdab1d4d7a9d122d40257b
distilled_mobilenetv3,Float32,distilled_mobilenetv3_float32.tflite,11969400,11.41,float32,float32,013cb0884d0ef91ea3b7d963b1a3662ce04e496567257cab0d248d7da5d7202b
distilled_mobilenetv3,Float16,distilled_mobilenetv3_float16.tflite,6098188,5.82,float32,float32,16887f18ff7683e88ea1d54b050a5ccacfea5fc7bd805641c25e08b6eb72d1d6
distilled_mobilenetv3,INT8,distilled_mobilenetv3_int8.tflite,3552864,3.39,float32,float32,cd5bf32485196c8b78b97b94c72c0616204451320fcf3a8caaa58c71c3f9c922
